"Fatehpur Sikri","2","Breakfast at hotel (₹300), Panch Mahal (Free)","Lunch at local dhaba (₹400), Departure (₹600)","-","₹1,300","₹1,200","₹700","₹600","Budget Hotel","Local Dhaba","Panch Mahal","4","[Thrillophilia - Panch Mahal](https://www.thrillophilia.com)","[Fatehpur Sikri Vlog](https://www.youtube.com/watch?v=vwx234)"
"Fatehpur Sikri","3","Breakfast at hotel (₹300), Diwan-i-Khas (Free)","Lunch at Sher-e-Punjab (₹500), Relax (Free)","Dinner at local dhaba (₹400), Night walk (Free)","₹1,200","₹1,200","₹900","₹0","Budget Hotel","Sher-e-Punjab, Local Dhaba","Diwan-i-Khas","4","[Thrillophilia - Diwan-i-Khas](https://www.thrillophilia.com)","[Fatehpur Sikri Vlog](https://www.youtube.com/watch?v=vwx234)"
"Fatehpur Sikri","4","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at local dhaba (₹400), Relax (Free)","Dinner at Sher-e-Punjab (₹500), Departure (₹600)","₹2,300","₹1,200","₹1,200","₹1,100","Budget Hotel","Local Dhaba, Sher-e-Punjab","Shopping","4","Pick up handicrafts","[Fatehpur Sikri Vlog](https://www.youtube.com/watch?v=vwx234)"
"Gokarna","1","Check-in at budget hotel (₹800), Om Beach (Free)","Lunch at Namaste Cafe (₹400), Kudle Beach (Free)","Dinner at Little Paradise (₹400), Relax (Free)","₹1,600","₹800","₹800","₹0","Budget Hotel","Namaste Cafe, Little Paradise","Om Beach, Kudle Beach","5","[Thrillophilia - Om Beach](https://www.thrillophilia.com)","[Gokarna Vlog](https://www.youtube.com/watch?v=yz567)"
"Gokarna","2","Breakfast at hotel (₹200), Mahabaleshwar Temple (Free)","Lunch at Prema Restaurant (₹300), Half Moon Beach (Free)","Dinner at Namaste Cafe (₹400), Night walk (Free)","₹900","₹800","₹900","₹0","Budget Hotel","Prema Restaurant, Namaste Cafe","Mahabaleshwar Temple, Half Moon Beach","5","[Thrillophilia - Mahabaleshwar Temple](https://www.thrillophilia.com)","[Gokarna Vlog](https://www.youtube.com/watch?v=yz567)"
"Gokarna","3","Breakfast at hotel (₹200), Paradise Beach trek (₹200)","Lunch at Little Paradise (₹400), Departure (₹500)","-","₹1,300","₹800","₹600","₹700","Budget Hotel","Little Paradise","Paradise Beach trek","5","[Thrillophilia - Paradise Beach](https://www.thrillophilia.com)","[Gokarna Vlog](https://www.youtube.com/watch?v=yz567)"
"Gokarna","4","Breakfast at hotel (₹200), Gokarna Beach (Free)","Lunch at Namaste Cafe (₹400), Relax (Free)","Dinner at Prema Restaurant (₹300), Night walk (Free)","₹900","₹800","₹900","₹0","Budget Hotel","Namaste Cafe, Prema Restaurant","Gokarna Beach","5","[Thrillophilia - Gokarna Beach](https://www.thrillophilia.com)","[Gokarna Vlog](https://www.youtube.com/watch?v=yz567)"
"Gokarna","5","Breakfast at hotel (₹200), Shopping (₹400)","Lunch at Little Paradise (₹400), Relax (Free)","Dinner at Namaste Cafe (₹400), Departure (₹500)","₹1,900","₹800","₹1,200","₹900","Budget Hotel","Little Paradise, Namaste Cafe","Shopping","5","Pick up beachwear and souvenirs","[Gokarna Vlog](https://www.youtube.com/watch?v=yz567)"
"Hampi","1","Check-in at budget hotel (₹1,200), Virupaksha Temple (Free)","Lunch at Mango Tree (₹500), Vittala Temple (₹500)","Dinner at Laughing Buddha (₹600), Relax (Free)","₹2,800","₹1,200","₹1,100","₹500","Budget Hotel","Mango Tree, Laughing Buddha","Virupaksha Temple, Vittala Temple","5","[Thrillophilia - Virupaksha Temple](https://www.thrillophilia.com)","[Hampi Vlog](https://www.youtube.com/watch?v=abc890)"
"Hampi","2","Breakfast at hotel (₹300), Matanga Hill sunrise (Free)","Lunch at Funky Monkey (₹500), Hemakuta Hill (Free)","Dinner at Mango Tree (₹600), Night walk (Free)","₹1,400","₹1,200","₹1,400","₹0","Budget Hotel","Funky Monkey, Mango Tree","Matanga Hill sunrise, Hemakuta Hill","5","[Thrillophilia - Matanga Hill](https://www.thrillophilia.com)","[Hampi Vlog](https://www.youtube.com/watch?v=abc890)"
"Hampi","3","Breakfast at hotel (₹300), Hampi Bazaar (Free)","Lunch at Laughing Buddha (₹600), Departure (₹700)","-","₹1,600","₹1,200","₹900","₹700","Budget Hotel","Laughing Buddha","Hampi Bazaar","5","Explore Hampi ruins","[Hampi Vlog](https://www.youtube.com/watch?v=abc890)"
"Hampi","4","Breakfast at hotel (₹300), Anjaneya Hill (₹200)","Lunch at Mango Tree (₹500), Relax (Free)","Dinner at Funky Monkey (₹500), Night walk (Free)","₹1,500","₹1,200","₹1,300","₹200","Budget Hotel","Mango Tree, Funky Monkey","Anjaneya Hill","5","[Thrillophilia - Anjaneya Hill](https://www.thrillophilia.com)","[Hampi Vlog](https://www.youtube.com/watch?v=abc890)"
"Hampi","5","Breakfast at hotel (₹300), Shopping (₹600)","Lunch at Laughing Buddha (₹600), Relax (Free)","Dinner at Mango Tree (₹600), Departure (₹700)","₹2,800","₹1,200","₹1,500","₹1,300","Budget Hotel","Laughing Buddha, Mango Tree","Shopping","5","Pick up stone carvings","[Hampi Vlog](https://www.youtube.com/watch?v=abc890)"
"Haridwar","1","Check-in at budget hotel (₹1,200), Har Ki Pauri (Free)","Lunch at Chotiwala (₹500), Mansa Devi Temple (₹300)","Dinner at Hoshiyarpuri (₹500), Ganga Aarti (Free)","₹2,500","₹1,200","₹1,000","₹300","Budget Hotel","Chotiwala, Hoshiyarpuri","Har Ki Pauri, Mansa Devi Temple, Ganga Aarti","5","[Thrillophilia - Har Ki Pauri](https://www.thrillophilia.com)","[Haridwar Vlog](https://www.youtube.com/watch?v=def123)"
"Haridwar","2","Breakfast at hotel (₹300), Chandi Devi Temple (₹300)","Lunch at Bhagwati (₹400), Ghat walk (Free)","Dinner at Chotiwala (₹500), Relax (Free)","₹1,500","₹1,200","₹1,200","₹300","Budget Hotel","Bhagwati, Chotiwala","Chandi Devi Temple, Ghat walk","5","[Thrillophilia - Chandi Devi](https://www.thrillophilia.com)","[Haridwar Vlog](https://www.youtube.com/watch?v=def123)"
"Haridwar","3","Breakfast at hotel (₹300), Bharat Mata Mandir (Free)","Lunch at Hoshiyarpuri (₹500), Departure (₹600)","-","₹1,400","₹1,200","₹800","₹600","Budget Hotel","Hoshiyarpuri","Bharat Mata Mandir","5","[Thrillophilia - Bharat Mata Mandir](https://www.thrillophilia.com)","[Haridwar Vlog](https://www.youtube.com/watch?v=def123)"
"Haridwar","4","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at Chotiwala (₹500), Relax (Free)","Dinner at Bhagwati (₹400), Night walk (Free)","₹1,700","₹1,200","₹1,200","₹500","Budget Hotel","Chotiwala, Bhagwati","Shopping","5","Pick up religious items","[Haridwar Vlog](https://www.youtube.com/watch?v=def123)"
"Haridwar","5","Breakfast at hotel (₹300), Rajaji National Park (₹500)","Lunch at Hoshiyarpuri (₹500), Relax (Free)","Dinner at Chotiwala (₹500), Departure (₹600)","₹2,400","₹1,200","₹1,300","₹1,100","Budget Hotel","Hoshiyarpuri, Chotiwala","Rajaji National Park","5","[Thrillophilia - Rajaji](https://www.thrillophilia.com)","[Haridwar Vlog](https://www.youtube.com/watch?v=def123)"
"Jaipur","1","Check-in at budget hotel (₹1,500), Hawa Mahal (₹200)","Lunch at LMB (₹600), City Palace (₹500)","Dinner at Chokhi Dhani (₹800), Relax (Free)","₹3,600","₹1,500","₹1,400","₹700","Budget Hotel","LMB, Chokhi Dhani","Hawa Mahal, City Palace","5","[Thrillophilia - Hawa Mahal](https://www.thrillophilia.com)","[Jaipur Vlog](https://www.youtube.com/watch?v=ghi456)"
"Jaipur","2","Breakfast at hotel (₹400), Amber Fort (₹500)","Lunch at 1135 AD (₹700), Jantar Mantar (₹200)","Dinner at Handi (₹600), Night walk (Free)","₹2,400","₹1,500","₹1,700","₹700","Budget Hotel","1135 AD, Handi","Amber Fort, Jantar Mantar","5","[Thrillophilia - Amber Fort](https://www.thrillophilia.com)","[Jaipur Vlog](https://www.youtube.com/watch?v=ghi456)"
"Jaipur","3","Breakfast at hotel (₹400), Nahargarh Fort (₹200)","Lunch at LMB (₹600), Departure (₹800)","-","₹2,000","₹1,500","₹1,000","₹1,000","Budget Hotel","LMB","Nahargarh Fort","5","[Thrillophilia - Nahargarh Fort](https://www.thrillophilia.com)","[Jaipur Vlog](https://www.youtube.com/watch?v=ghi456)"
"Jaipur","4","Breakfast at hotel (₹400), Patrika Gate (Free)","Lunch at Chokhi Dhani (₹800), Shopping (₹1,000)","Dinner at 1135 AD (₹700), Relax (Free)","₹2,900","₹1,500","₹1,900","₹1,000","Budget Hotel","Chokhi Dhani, 1135 AD","Patrika Gate, Shopping","5","Pick up jewelry and textiles","[Jaipur Vlog](https://www.youtube.com/watch?v=ghi456)"
"Jaipur","5","Breakfast at hotel (₹400), Jaigarh Fort (₹300)","Lunch at Handi (₹600), Relax (Free)","Dinner at LMB (₹600), Departure (₹800)","uition₹2,700","₹1,500","₹1,600","₹1,100","Budget Hotel","Handi, LMB","Jaigarh Fort","5","[Thrillophilia - Jaigarh Fort](https://www.thrillophilia.com)","[Jaipur Vlog](https://www.youtube.com/watch?v=ghi456)"
"Jaisalmer","1","Check-in at desert camp (₹3,000), Jaisalmer Fort (₹500)","Lunch at Desert Cow (₹600), Patwon Ki Haveli (₹200)","Dinner at camp (₹800), Cultural show (Free)","₹5,100","₹3,000","₹1,400","₹700","Desert Camp","Desert Cow, Camp Dining","Jaisalmer Fort, Patwon Ki Haveli, Cultural show","5","[Thrillophilia - Jaisalmer Fort](https://www.thrillophilia.com)","[Jaisalmer Vlog](https://www.youtube.com/watch?v=jkl789)"
"Jaisalmer","2","Breakfast at camp (₹500), Sam Sand Dunes (₹1,000)","Lunch at Trio (₹700), Camel safari (₹800)","Dinner at camp (₹800), Stargazing (Free)","₹3,800","₹3,000","₹2,000","₹1,800","Desert Camp","Trio, Camp Dining","Sam Sand Dunes, Camel safari, Stargazing","5","[Thrillophilia - Sam Sand Dunes](https://www.thrillophilia.com)","[Jaisalmer Vlog](https://www.youtube.com/watch?v=jkl789)"
"Jaisalmer","3","Breakfast at camp (₹500), Gadisar Lake (Free)","Lunch at Desert Cow (₹600), Departure (₹1,200)","-","₹2,300","₹3,000","₹1,100","₹1,200","Desert Camp","Desert Cow","Gadisar Lake","5","[Thrillophilia - Gadisar Lake](https://www.thrillophilia.com)","[Jaisalmer Vlog](https://www.youtube.com/watch?v=jkl789)"
"Jaisalmer","4","Breakfast at camp (₹500), Kuldhara Village (₹300)","Lunch at Trio (₹700), Relax (Free)","Dinner at camp (₹800), Night walk (Free)","₹2,300","₹3,000","₹2,000","₹300","Desert Camp","Trio, Camp Dining","Kuldhara Village","5","[Thrillophilia - Kuldhara](https://www.thrillophilia.com)","[Jaisalmer Vlog](https://www.youtube.com/watch?v=jkl789)"
"Jaisalmer","5","Breakfast at camp (₹500), Shopping (₹1,000)","Lunch at Desert Cow (₹600), Relax (Free)","Dinner at camp (₹800), Departure (₹1,200)","₹4,100","₹3,000","₹1,900","₹2,200","Desert Camp","Desert Cow, Camp Dining","Shopping","5","Pick up handicrafts and textiles","[Jaisalmer Vlog](https://www.youtube.com/watch?v=jkl789)"
"Jim Corbett","1","Check-in at budget hotel (₹2,000), Jeep safari (₹1,500)","Lunch at Safari Cafe (₹600), Corbett Museum (₹200)","Dinner at hotel (₹700), Relax (Free)","₹5,000","₹2,000","₹1,300","₹1,700","Budget Hotel","Safari Cafe, Hotel Dining","Jeep safari, Corbett Museum","5","[Thrillophilia - Jim Corbett](https://www.thrillophilia.com)","[Corbett Vlog](https://www.youtube.com/watch?v=mno012)"
"Jim Corbett","2","Breakfast at hotel (₹400), Corbett Falls (₹200)","Lunch at Kumaoni Kitchen (₹500), River walk (Free)","Dinner at Safari Cafe (₹600), Night safari (₹1,000)","₹2,700","₹2,000","₹1,500","₹1,200","Budget Hotel","Kumaoni Kitchen, Safari Cafe","Corbett Falls, River walk, Night safari","5","[Thrillophilia - Corbett Falls](https://www.thrillophilia.com)","[Corbett Vlog](https://www.youtube.com/watch?v=mno012)"
"Jim Corbett","3","Breakfast at hotel (₹400), Dhikala Zone (₹1,200)","Lunch at hotel (₹700), Departure (₹800)","-","₹3,100","₹2,000","₹1,100","₹2,000","Budget Hotel","Hotel Dining","Dhikala Zone","5","[Thrillophilia - Dhikala](https://www.thrillophilia.com)","[Corbett Vlog](https://www.youtube.com/watch?v=mno012)"
"Jim Corbett","4","Breakfast at hotel (₹400), Garjia Temple (Free)","Lunch at Safari Cafe (₹600), Relax (Free)","Dinner at Kumaoni Kitchen (₹500), Night walk (Free)","₹1,500","₹2,000","₹1,500","₹0","Budget Hotel","Safari Cafe, Kumaoni Kitchen","Garjia Temple","5","[Thrillophilia - Garjia Temple](https://www.thrillophilia.com)","[Corbett Vlog](https://www.youtube.com/watch?v=mno012)"
"Jim Corbett","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at hotel (₹700), Relax (Free)","Dinner at Safari Cafe (₹600), Departure (₹800)","₹3,100","₹2,000","₹1,700","₹1,400","Budget Hotel","Hotel Dining, Safari Cafe","Shopping","5","Pick up local crafts","[Corbett Vlog](https://www.youtube.com/watch?v=mno012)"
"Jodhpur","1","Check-in at budget hotel (₹1,800), Mehrangarh Fort (₹600)","Lunch at Indique (₹700), Jaswant Thada (₹200)","Dinner at Gypsy (₹800), Relax (Free)","₹4,100","₹1,800","₹1,500","₹800","Budget Hotel","Indique, Gypsy","Mehrangarh Fort, Jaswant Thada","5","[Thrillophilia - Mehrangarh Fort](https://www.thrillophilia.com)","[Jodhpur Vlog](https://www.youtube.com/watch?v=pqr345)"
"Jodhpur","2","Breakfast at hotel (₹400), Umaid Bhawan Palace (₹500)","Lunch at Kalinga (₹600), Clock Tower (Free)","Dinner at Indique (₹800), Night walk (Free)","₹2,300","₹1,800","₹1,800","₹500","Budget Hotel","Kalinga, Indique","Umaid Bhawan Palace, Clock Tower","5","[Thrillophilia - Umaid Bhawan](https://www.thrillophilia.com)","[Jodhpur Vlog](https://www.youtube.com/watch?v=pqr345)"
"Jodhpur","3","Breakfast at hotel (₹400), Mandore Gardens (Free)","Lunch at Gypsy (₹800), Departure (₹800)","-","₹2,000","₹1,800","₹1,200","₹800","Budget Hotel","Gypsy","Mandore Gardens","5","[Thrillophilia - Mandore Gardens](https://www.thrillophilia.com)","[Jodhpur Vlog](https://www.youtube.com/watch?v=pqr345)"
"Jodhpur","4","Breakfast at hotel (₹400), Balsamand Lake (Free)","Lunch at Indique (₹700), Relax (Free)","Dinner at Kalinga (₹600), Night views (Free)","₹1,700","₹1,800","₹1,700","₹0","Budget Hotel","Indique, Kalinga","Balsamand Lake","5","[Thrillophilia - Balsamand Lake](https://www.thrillophilia.com)","[Jodhpur Vlog](https://www.youtube.com/watch?v=pqr345)"
"Jodhpur","5","Breakfast at hotel (₹400), Shopping (₹1,000)","Lunch at Gypsy (₹800), Relax (Free)","Dinner at Indique (₹800), Departure (₹800)","₹3,800","₹1,800","₹2,000","₹1,800","Budget Hotel","Gypsy, Indique","Shopping","5","Pick up textiles and spices","[Jodhpur Vlog](https://www.youtube.com/watch?v=pqr345)"
"Kanyakumari","1","Check-in at budget hotel (₹1,500), Vivekananda Rock (₹500)","Lunch at Sea Shore (₹600), Thiruvalluvar Statue (Free)","Dinner at Sangam (₹700), Relax (Free)","₹3,300","₹1,500","₹1,300","₹500","Budget Hotel","Sea Shore, Sangam","Vivekananda Rock, Thiruvalluvar Statue","5","[Thrillophilia - Vivekananda Rock](https://www.thrillophilia.com)","[Kanyakumari Vlog](https://www.youtube.com/watch?v=stu678)"
"Kanyakumari","2","Breakfast at hotel (₹400), Sunrise at beach (Free)","Lunch at Triveni (₹500), Kanyakumari Temple (Free)","Dinner at Sea Shore (₹600), Sunset (Free)","₹1,500","₹1,500","₹1,500","₹0","Budget Hotel","Triveni, Sea Shore","Sunrise at beach, Kanyakumari Temple, Sunset","5","[Thrillophilia - Kanyakumari Temple](https://www.thrillophilia.com)","[Kanyakumari Vlog](https://www.youtube.com/watch?v=stu678)"
"Kanyakumari","3","Breakfast at hotel (₹400), Gandhi Memorial (Free)","Lunch at Sangam (₹700), Departure (₹800)","-","₹1,900","₹1,500","₹1,100","₹800","Budget Hotel","Sangam","Gandhi Memorial","5","[Thrillophilia - Gandhi Memorial](https://www.thrillophilia.com)","[Kanyakumari Vlog](https://www.youtube.com/watch?v=stu678)"
"Kanyakumari","4","Breakfast at hotel (₹400), Padmanabhapuram Palace (₹300)","Lunch at Sea Shore (₹600), Relax (Free)","Dinner at Triveni (₹500), Night walk (Free)","₹1,800","₹1,500","₹1,500","₹300","Budget Hotel","Sea Shore, Triveni","Padmanabhapuram Palace","5","[Thrillophilia - Padmanabhapuram](https://www.thrillophilia.com)","[Kanyakumari Vlog](https://www.youtube.com/watch?v=stu678)"
"Kanyakumari","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Sangam (₹700), Relax (Free)","Dinner at Sea Shore (₹600), Departure (₹800)","₹3,100","₹1,500","₹1,700","₹1,400","Budget Hotel","Sangam, Sea Shore","Shopping","5","Pick up shells and souvenirs","[Kanyakumari Vlog](https://www.youtube.com/watch?v=stu678)"
"Kashmir","1","Check-in at houseboat (₹3,500), Shikara ride (₹1,000)","Lunch at Mughal Darbar (₹800), Dal Lake (Free)","Dinner at houseboat (₹900), Relax (Free)","₹6,200","₹3,500","₹1,700","₹1,000","Houseboat","Mughal Darbar, Houseboat Dining","Shikara ride, Dal Lake","6","[Thrillophilia - Dal Lake](https://www.thrillophilia.com)","[Kashmir Vlog](https://www.youtube.com/watch?v=vwx901)"
"Kashmir","2","Breakfast at houseboat (₹500), Gulmarg gondola (₹1,500)","Lunch at Bakshi (₹700), Skiing intro (₹1,000)","Dinner at Adhoo’s (₹800), Night walk (Free)","₹4,500","₹3,500","₹2,000","₹2,500","Houseboat","Bakshi, Adhoo’s","Gulmarg gondola, Skiing intro","6","[Thrillophilia - Gulmarg](https://www.thrillophilia.com)","[Kashmir Vlog](https://www.youtube.com/watch?v=vwx901)"
"Kashmir","3","Breakfast at houseboat (₹500), Pahalgam (₹1,200)","Lunch at Trout Beat (₹600), Betaab Valley (₹300)","Dinner at houseboat (₹900), Relaxation (Free)","₹3,500","₹3,500","₹2,000","₹1,500","Houseboat","Trout Beat, Houseboat Dining","Pahalgam, Betaab Valley","6","[Thrillophilia - Betaab Valley](https://www.thrillophilia.com)","[Kashmir Vlog](https://www.youtube.com/watch?v=vwx901)"
"Kashmir","4","Breakfast at houseboat (₹500), Shankaracharya Temple (Free)","Lunch at Mughal Darbar (₹800), Departure (₹1,500)","-","₹2,800","₹3,500","₹1,300","₹1,500","Houseboat","Mughal Darbar","Shankaracharya Temple","6","[Thrillophilia - Shankaracharya](https://www.thrillophilia.com)","[Kashmir Vlog](https://www.youtube.com/watch?v=vwx901)"
"Kashmir","5","Breakfast at houseboat (₹500), Nishat Bagh (₹200)","Lunch at Adhoo’s (₹800), Relax (Free)","Dinner at houseboat (₹900), Night views (Free)","₹2,400","₹3,500","₹2,200","₹200","Houseboat","Adhoo’s, Houseboat Dining","Nishat Bagh","6","[Thrillophilia - Nishat Bagh](https://www.thrillophilia.com)","[Kashmir Vlog](https://www.youtube.com/watch?v=vwx901)"
"Kashmir","6","Breakfast at houseboat (₹500), Shopping (₹1,200)","Lunch at Bakshi (₹700), Relax (Free)","Dinner at houseboat (₹900), Departure (₹1,500)","₹4,800","₹3,500","₹2,100","₹2,700","Houseboat","Bakshi, Houseboat Dining","Shopping","6","Pick up shawls and saffron","[Kashmir Vlog](https://www.youtube.com/watch?v=vwx901)"
"Kedarnath","1","Check-in at budget hotel (₹1,200), Trek to Kedarnath (₹1,000)","Lunch at local dhaba (₹400), Kedarnath Temple (Free)","Dinner at Tiwari Hotel (₹500), Relax (Free)","₹3,100","₹1,200","₹900","₹1,000","Budget Hotel","Local Dhaba, Tiwari Hotel","Trek to Kedarnath, Kedarnath Temple","5","[Thrillophilia - Kedarnath](https://www.thrillophilia.com)","[Kedarnath Vlog](https://www.youtube.com/watch?v=yz890)"
"Kedarnath","2","Breakfast at hotel (₹300), Bhairavnath Temple (Free)","Lunch at local dhaba (₹400), Gaurikund (₹200)","Dinner at Tiwari Hotel (₹500), Night prayer (Free)","₹1,400","₹1,200","₹1,200","₹200","Budget Hotel","Local Dhaba, Tiwari Hotel","Bhairavnath Temple, Gaurikund","5","[Thrillophilia - Gaurikund](https://www.thrillophilia.com)","[Kedarnath Vlog](https://www.youtube.com/watch?v=yz890)"
"Kedarnath","3","Breakfast at hotel (₹300), Return trek (₹800)","Lunch at local dhaba (₹400), Departure (₹600)","-","₹2,100","₹1,200","₹700","₹1,400","Budget Hotel","Local Dhaba","Return trek","5","Trek back from Kedarnath","[Kedarnath Vlog](https://www.youtube.com/watch?v=yz890)"
"Kedarnath","4","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at Tiwari Hotel (₹500), Relax (Free)","Dinner at local dhaba (₹400), Night walk (Free)","₹1,700","₹1,200","₹1,200","₹500","Budget Hotel","Tiwari Hotel, Local Dhaba","Shopping","5","Pick up religious items","[Kedarnath Vlog](https://www.youtube.com/watch?v=yz890)"
"Kedarnath","5","Breakfast at hotel (₹300), Vasuki Tal view (₹300)","Lunch at local dhaba (₹400), Relax (Free)","Dinner at Tiwari Hotel (₹500), Departure (₹600)","₹2,100","₹1,200","₹1,200","₹900","Budget Hotel","Local Dhaba, Tiwari Hotel","Vasuki Tal view","5","[Thrillophilia - Vasuki Tal](https://www.thrillophilia.com)","[Kedarnath Vlog](https://www.youtube.com/watch?v=yz890)"
"Khajuraho","1","Check-in at budget hotel (₹1,500), Western Group Temples (₹500)","Lunch at Raja Cafe (₹600), Eastern Group Temples (₹200)","Dinner at Mediterraneo (₹700), Relax (Free)","₹3,500","₹1,500","₹1,300","₹700","Budget Hotel","Raja Cafe, Mediterraneo","Western Group Temples, Eastern Group Temples","5","[Thrillophilia - Khajuraho Temples](https://www.thrillophilia.com)","[Khajuraho Vlog](https://www.youtube.com/watch?v=abc345)"
"Khajuraho","2","Breakfast at hotel (₹400), Raneh Falls (₹300)","Lunch at Zorba (₹500), Jain Temples (Free)","Dinner at Raja Cafe (₹600), Night walk (Free)","₹1,800","₹1,500","₹1,500","₹300","Budget Hotel","Zorba, Raja Cafe","Raneh Falls, Jain Temples","5","[Thrillophilia - Raneh Falls](https://www.thrillophilia.com)","[Khajuraho Vlog](https://www.youtube.com/watch?v=abc345)"
"Khajuraho","3","Breakfast at hotel (₹400), Archaeological Museum (₹200)","Lunch at Mediterraneo (₹700), Departure (₹800)","-","₹2,100","₹1,500","₹1,100","₹1,000","Budget Hotel","Mediterraneo","Archaeological Museum","5","[Thrillophilia - Museum](https://www.thrillophilia.com)","[Khajuraho Vlog](https://www.youtube.com/watch?v=abc345)"
"Khajuraho","4","Breakfast at hotel (₹400), Dulhadev Temple (Free)","Lunch at Raja Cafe (₹600), Relax (Free)","Dinner at Zorba (₹500), Night walk (Free)","₹1,500","₹1,500","₹1,500","₹0","Budget Hotel","Raja Cafe, Zorba","Dulhadev Temple","5","[Thrillophilia - Dulhadev](https://www.thrillophilia.com)","[Khajuraho Vlog](https://www.youtube.com/watch?v=abc345)"
"Khajuraho","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Mediterraneo (₹700), Relax (Free)","Dinner at Raja Cafe (₹600), Departure (₹800)","₹3,100","₹1,500","₹1,700","₹1,400","Budget Hotel","Mediterraneo, Raja Cafe","Shopping","5","Pick up stone carvings","[Khajuraho Vlog](https://www.youtube.com/watch?v=abc345)"
"Kodaikanal","1","Check-in at budget hotel (₹1,800), Coaker’s Walk (₹200)","Lunch at Hilltop Inn (₹600), Bryant Park (Free)","Dinner at Cloud Street (₹700), Relax (Free)","₹3,300","₹1,800","₹1,300","₹200","Budget Hotel","Hilltop Inn, Cloud Street","Coaker’s Walk, Bryant Park","5","[Thrillophilia - Coaker’s Walk](https://www.thrillophilia.com)","[Kodaikanal Vlog](https://www.youtube.com/watch?v=def678)"
"Kodaikanal","2","Breakfast at hotel (₹400), Pillar Rocks (₹200)","Lunch at Muncheez (₹500), Kodaikanal Lake (₹300)","Dinner at Hilltop Inn (₹600), Night walk (Free)","₹2,000","₹1,800","₹1,500","₹500","Budget Hotel","Muncheez, Hilltop Inn","Pillar Rocks, Kodaikanal Lake","5","[Thrillophilia - Kodaikanal Lake](https://www.thrillophilia.com)","[Kodaikanal Vlog](https://www.youtube.com/watch?v=def678)"
"Kodaikanal","3","Breakfast at hotel (₹400), Pine Forest (Free)","Lunch at Cloud Street (₹700), Departure (₹800)","-","₹1,900","₹1,800","₹1,100","₹800","Budget Hotel","Cloud Street","Pine Forest","5","[Thrillophilia - Pine Forest](https://www.thrillophilia.com)","[Kodaikanal Vlog](https://www.youtube.com/watch?v=def678)"
"Kodaikanal","4","Breakfast at hotel (₹400), Bear Shola Falls (Free)","Lunch at Hilltop Inn (₹600), Relax (Free)","Dinner at Muncheez (₹500), Night walk (Free)","₹1,500","₹1,800","₹1,500","₹0","Budget Hotel","Hilltop Inn, Muncheez","Bear Shola Falls","5","[Thrillophilia - Bear Shola](https://www.thrillophilia.com)","[Kodaikanal Vlog](https://www.youtube.com/watch?v=def678)"
"Kodaikanal","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Cloud Street (₹700), Relax (Free)","Dinner at Hilltop Inn (₹600), Departure (₹800)","₹3,100","₹1,800","₹1,700","₹1,400","Budget Hotel","Cloud Street, Hilltop Inn","Shopping","5","Pick up homemade chocolates","[Kodaikanal Vlog](https://www.youtube.com/watch?v=def678)"
"Kolkata","1","Check-in at budget hotel (₹1,800), Victoria Memorial (₹500)","Lunch at Peter Cat (₹700), Indian Museum (₹200)","Dinner at Oh! Calcutta (₹800), Relax (Free)","₹4,000","₹1,800","₹1,500","₹700","Budget Hotel","Peter Cat, Oh! Calcutta","Victoria Memorial, Indian Museum","5","[Thrillophilia - Victoria Memorial](https://www.thrillophilia.com)","[Kolkata Vlog](https://www.youtube.com/watch?v=ghi901)"
"Kolkata","2","Breakfast at hotel (₹400), Howrah Bridge (Free)","Lunch at 6 Ballygunge Place (₹800), Kalighat Temple (Free)","Dinner at Bhojohori Manna (₹700), Night walk (Free)","₹1,900","₹1,800","₹1,900","₹0","Budget Hotel","6 Ballygunge Place, Bhojohori Manna","Howrah Bridge, Kalighat Temple","5","[Thrillophilia - Howrah Bridge](https://www.thrillophilia.com)","[Kolkata Vlog](https://www.youtube.com/watch?v=ghi901)"
"Kolkata","3","Breakfast at hotel (₹400), Dakshineswar Temple (Free)","Lunch at Peter Cat (₹700), Departure (₹800)","-","₹1,900","₹1,800","₹1,100","₹800","Budget Hotel","Peter Cat","Dakshineswar Temple","5","[Thrillophilia - Dakshineswar](https://www.thrillophilia.com)","[Kolkata Vlog](https://www.youtube.com/watch?v=ghi901)"
"Kolkata","4","Breakfast at hotel (₹400), Park Street (Free)","Lunch at Oh! Calcutta (₹800), Shopping (₹1,000)","Dinner at 6 Ballygunge Place (₹800), Relax (Free)","₹3,000","₹1,800","₹2,000","₹1,000","Budget Hotel","Oh! Calcutta, 6 Ballygunge Place","Park Street, Shopping","5","Pick up Bengali sweets","[Kolkata Vlog](https://www.youtube.com/watch?v=ghi901)"
"Destination","Day","Morning Activity (Cost)","Afternoon Activity (Cost)","Evening Activity (Cost)","Daily Cost (₹)","Hotel Cost (₹)","Restaurant Cost (₹)","Activity Cost (₹)","Hotel","Restaurants","Activities","No. of Days","Image Source & Link","YouTube Vlog Link"
